,x matrix,y matrix,lon,lat,lon grid,lat grid,tile
0,600,600,-177.5,72.5,-177.5,72.5,75N180W
1,1800,600,-172.5,72.5,-172.5,72.5,75N180W
2,3000,600,-167.5,72.5,-167.5,72.5,75N180W
3,4200,600,-162.5,72.5,-162.5,72.5,75N180W
4,5400,600,-157.5,72.5,-157.5,72.5,75N180W
5,6600,600,-152.5,72.5,-152.5,72.5,75N180W
6,7800,600,-147.5,72.5,-147.5,72.5,75N180W
7,9000,600,-142.5,72.5,-142.5,72.5,75N180W
8,10200,600,-137.5,72.5,-137.5,72.5,75N180W
9,11400,600,-132.5,72.5,-132.5,72.5,75N180W
10,12600,600,-127.5,72.5,-127.5,72.5,75N180W
11,13800,600,-122.5,72.5,-122.5,72.5,75N180W
12,15000,600,-117.5,72.5,-117.5,72.5,75N180W
13,16200,600,-112.5,72.5,-112.5,72.5,75N180W
14,17400,600,-107.5,72.5,-107.5,72.5,75N180W
15,18600,600,-102.5,72.5,-102.5,72.5,75N180W
16,19800,600,-97.5,72.5,-97.5,72.5,75N180W
17,21000,600,-92.5,72.5,-92.5,72.5,75N180W
18,22200,600,-87.5,72.5,-87.5,72.5,75N180W
19,23400,600,-82.5,72.5,-82.5,72.5,75N180W
20,24600,600,-77.49999917996205,72.50416664669908,-77.5,72.5,75N180W
21,25800,600,-72.5,72.5,-72.5,72.5,75N180W
22,27000,600,-67.5,72.5,-67.5,72.5,75N180W
23,28200,600,-62.5,72.5,-62.5,72.5,75N180W
24,600,600,-57.5,72.5,-57.5,72.5,75N060W
25,1800,599,-52.499999939997224,72.50833331339908,-52.5,72.5,75N060W
26,3000,600,-47.5,72.5,-47.5,72.5,75N060W
27,4200,600,-42.5,72.5,-42.5,72.5,75N060W
28,5400,600,-37.5,72.5,-37.5,72.5,75N060W
29,6600,600,-32.5,72.5,-32.5,72.5,75N060W
30,7800,600,-27.5,72.5,-27.5,72.5,75N060W
31,9000,600,-22.5,72.5,-22.5,72.5,75N060W
32,10200,600,-17.5,72.5,-17.5,72.5,75N060W
33,11400,600,-12.5,72.5,-12.5,72.5,75N060W
34,12600,600,-7.5,72.5,-7.5,72.5,75N060W
35,13800,600,-2.5,72.5,-2.5,72.5,75N060W
36,15000,600,2.5,72.5,2.5,72.5,75N060W
37,16200,600,7.5,72.5,7.5,72.5,75N060W
38,17400,600,12.5,72.5,12.5,72.5,75N060W
39,18600,600,17.5,72.5,17.5,72.5,75N060W
40,19800,600,22.5,72.5,22.5,72.5,75N060W
41,21000,600,27.5,72.5,27.5,72.5,75N060W
42,22200,600,32.5,72.5,32.5,72.5,75N060W
43,23400,600,37.5,72.5,37.5,72.5,75N060W
44,24600,600,42.5,72.5,42.5,72.5,75N060W
45,25800,600,47.5,72.5,47.5,72.5,75N060W
46,26999,598,52.49583423334164,72.51249998009908,52.5,72.5,75N060W
47,28200,600,57.5,72.5,57.5,72.5,75N060W
48,600,600,62.5,72.5,62.5,72.5,75N060E
49,1800,600,67.5,72.5,67.5,72.5,75N060E
50,3000,600,72.5,72.5,72.5,72.5,75N060E
51,4200,600,77.5,72.5,77.5,72.5,75N060E
52,5400,597,82.50000018000833,72.51666664679908,82.5,72.5,75N060E
53,6600,600,87.5,72.5,87.5,72.5,75N060E
54,7800,600,92.5,72.5,92.5,72.5,75N060E
55,9000,600,97.5,72.5,97.5,72.5,75N060E
56,10199,597,102.49583367331573,72.51666664679908,102.5,72.5,75N060E
57,11400,600,107.5,72.5,107.5,72.5,75N060E
58,12599,600,112.49583375331943,72.50416664669908,112.5,72.5,75N060E
59,13800,600,117.5,72.5,117.5,72.5,75N060E
60,15000,600,122.5,72.5,122.5,72.5,75N060E
61,16200,600,127.5,72.5,127.5,72.5,75N060E
62,17400,600,132.5,72.5,132.5,72.5,75N060E
63,18600,600,137.5,72.5,137.5,72.5,75N060E
64,19800,600,142.5,72.5,142.5,72.5,75N060E
65,21000,600,147.5,72.5,147.5,72.5,75N060E
66,22200,600,152.5,72.5,152.5,72.5,75N060E
67,23400,600,157.5,72.5,157.5,72.5,75N060E
68,24600,600,162.5,72.5,162.5,72.5,75N060E
69,25800,600,167.5,72.5,167.5,72.5,75N060E
70,27000,600,172.5,72.5,172.5,72.5,75N060E
71,28200,600,177.5,72.5,177.5,72.5,75N060E
72,590,1781,-177.5416666469991,67.58333327399725,-177.5,67.5,75N180W
73,1809,1702,-172.4624999396972,67.91249994329738,-172.5,67.5,75N180W
74,2999,1800,-167.50416656669537,67.50416660669723,-167.5,67.5,75N180W
75,4116,1850,-162.84999986279365,67.29583327169715,-162.5,67.5,75N180W
76,5337,1776,-157.76249982209177,67.60416660749726,-157.5,67.5,75N180W
77,6547,1777,-152.7208331150899,67.59999994079726,-152.5,67.5,75N180W
78,7755,1965,-147.68749974148804,66.81666660119697,-147.5,67.5,75N180W
79,9008,1927,-142.4666663663861,66.97499993579703,-142.5,67.5,75N180W
80,10202,1784,-137.49166632658427,67.57083327389725,-137.5,67.5,75N180W
81,11400,1800,-132.49999961998242,67.50416660669723,-132.5,67.5,75N180W
82,12600,1800,-127.5,67.5,-127.5,67.5,75N180W
83,13800,1800,-122.5,67.5,-122.5,67.5,75N180W
84,15000,1800,-117.5,67.5,-117.5,67.5,75N180W
85,16200,1800,-112.5,67.5,-112.5,67.5,75N180W
86,17433,1820,-107.3624994188731,67.4208332726972,-107.5,67.5,75N180W
87,18600,1800,-102.5,67.5,-102.5,67.5,75N180W
88,19800,1800,-97.5,67.5,-97.5,67.5,75N180W
89,21000,1800,-92.5,67.5,-92.5,67.5,75N180W
90,22200,1800,-87.5,67.5,-87.5,67.5,75N180W
91,23400,1800,-82.5,67.5,-82.5,67.5,75N180W
92,24600,1800,-77.5,67.5,-77.5,67.5,75N180W
93,25800,1800,-72.5,67.5,-72.5,67.5,75N180W
94,27000,1800,-67.5,67.5,-67.5,67.5,75N180W
95,28200,1800,-62.5,67.5,-62.5,67.5,75N180W
96,600,1800,-57.5,67.5,-57.5,67.5,75N060W
97,1801,1800,-52.49583327329722,67.50416660669723,-52.5,67.5,75N060W
98,3000,1800,-47.5,67.5,-47.5,67.5,75N060W
99,4200,1800,-42.5,67.5,-42.5,67.5,75N060W
100,5400,1800,-37.5,67.5,-37.5,67.5,75N060W
101,6600,1800,-32.5,67.5,-32.5,67.5,75N060W
102,7800,1800,-27.5,67.5,-27.5,67.5,75N060W
103,9000,1800,-22.5,67.5,-22.5,67.5,75N060W
104,10200,1799,-17.49999965998427,67.50833327339723,-17.5,67.5,75N060W
105,11400,1800,-12.5,67.5,-12.5,67.5,75N060W
106,12600,1800,-7.5,67.5,-7.5,67.5,75N060W
107,13800,1800,-2.5,67.5,-2.5,67.5,75N060W
108,15000,1800,2.5,67.5,2.5,67.5,75N060W
109,16200,1800,7.5,67.5,7.5,67.5,75N060W
110,17384,1804,12.43333391282681,67.48749993989722,12.5,67.5,75N060W
111,18601,1808,17.504167286728688,67.47083327309721,17.5,67.5,75N060W
112,19799,1763,22.495833993330535,67.65833327459728,22.5,67.5,75N060W
113,20996,1753,27.48333403323238,67.6999999415973,27.5,67.5,75N060W
114,22113,1702,32.137500737134104,67.91249994329738,32.5,67.5,75N060W
