,date,Oriental,Tanger-Tétouan-Al Hoceima,Fès-Meknès,Beni Mellal-Khénifra,Rabat-Salé-Kénitra,Casablanca-Settat,Marrakech-Safi,Draa-Tafilalet,Souss-Massa,Guelmim-Oued Noun,Laayoune-Sakia-El-Hamra,Dakhla-Oued Ed-Dahab
0,2014-01-01,1468248.9455186983,1050671.2201501648,1061713.3702983188,693581.344200103,1090118.0130307334,1531058.2251829677,1134618.0576007839,779094.0488648183,819874.1540508295,297607.10625506984,797512.9782006049,366729.64474935323
1,2014-02-01,1434760.1724108835,963996.245579059,958245.2462132886,692800.3335657232,995063.5605529199,1554755.7635068523,1194171.6203787494,807116.7455560372,953769.5553625862,404781.47716787027,961625.3311910904,539694.7216410623
2,2014-03-01,1405007.3925619202,1013958.0552576828,1061127.3102856865,754559.4013036988,1071629.0793656358,1631589.9981434662,1267579.0327237581,962538.6751442114,1029907.8078211027,546991.6385706365,1773690.8077487638,1326178.9022235544
3,2014-04-01,1278188.3711493996,1076092.849772505,1044445.9123046701,692640.3194964995,1127618.5605202508,1775564.1002389132,1210353.148816032,743775.3578185044,911259.4695983459,449136.9994206104,1498355.276106372,1214184.3767139409
4,2014-05-01,1399853.2093149947,1165430.1587368695,1087159.45374433,694457.8602562652,1145621.7605504675,1599988.1611972929,1097662.7009278033,564352.4910885883,654712.3872178348,259413.32122237762,827954.1485960529,490370.2190744521
5,2014-06-01,1477604.7323310634,1168287.8449546034,1154699.9776929407,737869.2683136922,1192043.1594320945,1761469.924958924,1290229.3633295358,649423.9795168318,697774.1529501828,308790.7794435157,728452.3953699156,573888.5754471347
6,2014-07-01,1507034.136848091,1215938.2331225954,1193343.5896581055,744279.3878444205,1216151.7506071322,1637635.377285196,1306933.8881833607,639478.8019072143,774690.6720422448,251311.70033778,579490.4097816101,428242.17530822405
7,2014-08-01,1492051.3331707092,1234530.9870856996,1144039.8760656032,741722.7529978622,1159840.7214855123,1690064.9432886587,1269010.8452899107,710780.4106423252,868083.2183277962,380916.5994842832,1038601.3316903256,806155.2071239882
8,2014-09-01,1423362.4385960905,1071615.4672172903,971584.6713089725,676073.9481455132,987739.3319497327,1509894.29512969,1179727.5971422193,806385.4988762632,921041.0389733999,446092.26026293065,1352745.7452015262,1059625.5978573337
9,2014-10-01,1659073.8612144957,1120150.8360680835,1234453.9332838466,740599.2821358205,1147832.2927553467,1796164.7855194365,1258966.3846547967,844655.6020508441,910671.9636363065,429737.1341004606,1246659.098072353,872378.1290232663
10,2014-11-01,921689.9815841279,1027770.8073221523,840236.174288295,495080.3535965586,1052538.453005887,1620190.0231835248,871460.9336094686,89322.20806498532,463316.8836128389,44756.27420733242,-10524.009217615063,-197726.5727102543
11,2014-12-01,1941724.8067709801,1256237.655823601,1340574.4479262135,864101.0714763827,1180884.5896493406,1788229.6855684523,1400075.706682582,1247788.8971071246,1033920.7895583392,456163.12313954806,1060005.1782359881,494425.550422321
12,2015-01-01,1543846.7896409635,1139188.3420977262,1078450.5604656464,706916.9059457523,1068048.4025550678,1756000.8537964765,1215095.1816243369,846542.6669255735,931905.1062517023,376653.26726741216,903682.8510987115,566486.5687831412
13,2015-02-01,2308603.6783320033,1244938.9407992065,1423601.958390156,1064996.1385815223,1258410.881627492,2027280.3094750312,1632101.1011817479,1893355.069800752,1543745.8916837978,873375.2816003198,2475110.7072999724,1852492.6076617388
14,2015-03-01,1589399.919827673,1183815.9659537107,1140369.6513216954,759652.372619499,1143685.7758515077,1817863.2519139242,1234710.2125659117,918206.180479219,997224.4202128812,504601.59112570726,1459660.2646671892,1118538.480531535
15,2015-04-01,1105314.4917832671,1097099.100646547,938667.9896740754,659474.6634192101,1101448.1137522026,1730456.612336101,1158653.767781491,541153.1965902337,783770.6548759855,349818.3628096364,1097989.483168091,859015.979436131
16,2015-05-01,1382204.6828250727,1211589.0831625473,1118585.7216144255,719363.7238852496,1162136.311358384,1762757.6021726981,1102344.3861698024,555252.9562991082,687577.6750222604,308111.9460019899,835744.8723034116,637442.7562020653
17,2015-06-01,1401987.7985737931,1195583.1314928317,1114651.7204772276,750326.2368744576,1192354.2765104321,1757440.101235529,1269409.1650531157,777542.7530490267,813413.211670836,399329.3597732452,1194984.7424318013,1013875.4177746982
18,2015-07-01,1383864.0135087979,1271746.6758954925,1091410.034732236,676551.668441664,1167705.8219317219,1819322.3459091713,1218475.109667055,474961.72180834867,671266.5673008617,207701.49790882383,520630.38238198974,403615.2691496617
19,2015-08-01,1033387.1749026779,1169619.3137176936,833274.4240447175,552634.5847750716,986583.7442253003,1506191.088828879,910997.3888898145,184568.6326512189,460001.3550743337,18841.89215957632,-12887.347986909765,71599.9741067311
20,2015-09-01,1144222.877043269,1131556.5469204278,964759.2867050814,672693.64572252,1114368.1883262352,1753172.5642854983,1186257.6135954717,443122.92431858554,754217.7003125687,329295.04811614216,987608.5103501942,815993.9931335684
21,2015-10-01,1253609.5965481228,1160197.073309936,972071.0577401548,687254.5612918744,1082796.3183016288,1823425.5666920287,1137312.8930147258,504401.456152284,726600.8560128883,267690.1041935664,528273.4636485166,200448.0233604599
22,2015-11-01,1570922.797660506,1301087.394969897,1238110.8764735218,795981.0523220822,1147465.4136986663,1788823.0071823066,1293414.352077287,876931.9006329734,912766.324244846,394328.46008442313,1037365.2602264492,691097.4758412612
23,2015-12-01,1681551.3354888367,1350754.109714093,1338531.7414529836,872511.0003635834,1300651.4417214007,2030165.547249978,1410821.2271127745,996984.7970431161,982139.6925782672,423322.7188260537,1012612.9270531717,533675.7587408662
24,2016-01-01,1595889.7597413226,1190922.3091603974,1148649.0104350518,732948.8999604253,1164737.9547901817,1914557.5408536736,1240760.583877638,795137.6112510513,865576.2590689748,317986.65879704093,477557.62336805445,-70733.0694074721
25,2016-02-01,1584976.5694448035,1052874.1386564253,1218674.3187940125,816031.8516293308,1185756.016417573,1823065.4410637356,1315711.0095594348,832491.7915913962,974557.0540148453,467987.52767458616,1105215.427605668,443498.93165192695
26,2016-03-01,1186331.2272086688,1286515.2029438901,1018449.8181891035,697842.6156064828,1189443.0245425394,1830067.2871260324,1112380.2078244046,408119.7812193566,689153.762213655,214072.52759417918,531581.3642652271,337245.8001905572
27,2016-04-01,1374547.4485516397,1303370.3834080945,1167416.706622522,831389.1543367598,1325352.8304395801,2015095.8089136644,1294704.4591309421,741665.7187390731,910325.9037763132,384599.9227511828,1198244.4680715948,849571.9976426535
28,2016-05-01,1515422.9432703424,1322101.3638785724,1178064.8292917947,793252.886362716,1270775.6014600461,1826841.970942485,1205655.8913827518,905377.9866409122,917979.0930917199,408934.933521495,1183307.9387082895,952806.3083109749
29,2016-06-01,1539714.6972548328,1447258.3938583217,1304075.781867598,830967.2325260937,1390803.1973521984,2003953.546203765,1320934.8356130323,763025.085891231,768224.6786575797,293002.522737455,769482.1134724066,464501.33891731466
30,2016-07-01,1142337.6318588844,1302662.024652824,1110208.4048632912,748974.7770623046,1209473.3048208214,1616949.9018524762,1207653.316222625,549724.2060149417,658092.2957141362,246947.52058931888,656469.4017990759,452315.8747225154
31,2016-08-01,1258439.7898445274,1345481.0581802456,1109532.483448245,686113.9740613603,1180334.7457366956,1801079.192431246,1149080.4444510224,378011.5773400521,662132.328545219,171282.50303437043,316099.4890151627,144550.28514900742
32,2016-09-01,1279536.7143170158,1263998.0823599286,1102660.3738996717,706094.7219953297,1191081.772093561,1736905.590169535,1158358.788492985,526656.8193309103,637169.2417126659,237074.10290383664,659042.0726285246,465312.4217248331
33,2016-10-01,1450470.733960493,1305674.402354113,1220679.813673853,779443.3722149214,1185113.3984357861,1760682.450721038,1306607.837010647,604666.2534580329,790620.499730296,280826.67713036825,735660.6486207361,589113.0958662573
34,2016-11-01,1683324.092953221,1355680.2163155854,1243009.9557301765,815625.7624987073,1296885.9595906315,1872644.1838431628,1313594.698569708,792776.7938824751,946876.7835030326,396927.7703721818,1019038.2442909947,647856.178596162
35,2016-12-01,1424428.0225231738,1246393.8289373217,1090926.7238158444,690996.0503709912,1210281.2405978532,1857706.6228101344,1267505.9530830656,607042.1730655091,812817.8981457106,325626.1222499077,568654.1615593939,154799.4998173059
36,2017-01-01,1973366.3054909683,1446971.1182667047,1339584.9255111634,898923.3320324543,1342048.5575172435,1977897.4714203975,1482888.7663205755,1193949.0213495414,1139674.5673225827,570899.41776011,1387839.8768222847,804550.6065840892
37,2017-02-01,2056794.11056571,1387081.9781693625,1466528.4467297897,993304.2917922274,1302808.7423064124,2155244.6062420495,1565326.224261399,1435255.5534862094,1231460.6694804984,672104.6508114892,1922970.2416637305,1417202.8661868577
38,2017-03-01,2071914.9000884425,1429982.8781006867,1486333.1583972909,1019243.0749645823,1441436.7895318046,2116810.952680295,1596125.9780835516,1433967.3923893517,1269839.302552937,680239.0308601138,1902652.1149991045,1575423.9723136087
39,2017-04-01,1962793.447494419,1434442.906846622,1487109.535959497,992082.2037776669,1383647.5601021284,2048675.5727089783,1608786.7851289585,1379979.3081093961,1272038.6658886704,716023.6293119405,2224343.4355648714,1822695.9724238538
40,2017-05-01,2136125.433563203,1530999.3468701418,1672823.7563628007,1135327.42685922,1549695.0567911554,2156025.116917086,1733917.807913135,1697310.4826457712,1294354.6850907353,779604.4614290774,2346331.484211597,2004006.5696510843
41,2017-06-01,2074364.473215377,1640853.228014414,1709143.368253939,1129736.7894200203,1575831.0246459541,2041943.9897125987,1811553.0340536558,1579276.1405595555,1444698.694607246,771802.4305461982,2290397.531720384,1751810.91988366
42,2017-07-01,1962896.7490414944,1676890.3916801051,1481108.7740199568,988144.6449815072,1507463.635802881,2026507.8897393157,1578427.3140937048,1235099.4450087561,1187225.6134432585,583587.2459597308,1616318.0592248861,1269202.6674063795
43,2017-08-01,1807799.4102090178,1553468.4596959616,1428571.27536363,984506.7475359959,1428325.9027004198,2005807.833020735,1576759.3421401847,1256885.346037832,1201106.6885134408,680137.9904355758,1872017.19573375,1539905.7594062227
44,2017-09-01,2067603.1783261078,1603524.5225305208,1639113.2071195745,1084414.747067734,1488290.9808765305,2044949.441217078,1660560.842242618,1461455.2415311092,1332464.7147871107,770387.2999141804,2427901.051221216,1987037.3731030815
45,2017-10-01,2542931.2219008757,1697977.434864181,1884409.2513466014,1235738.7061358904,1625903.9015095145,2252028.7964030923,1944153.8609541478,2025318.8861078422,1695607.845089047,1011952.0538060905,3115249.879030542,2647421.1980443853
46,2017-11-01,2347076.2185484394,1682658.6292384448,1830797.2947264607,1191090.9686878165,1642464.1493884907,2348499.8390292167,1856113.241892916,1859742.4847263969,1503810.3460765309,921184.2977465864,2609922.5042177443,1823612.5878365168
47,2017-12-01,2132909.6442264942,1637704.273207915,1654388.467854119,1104313.6006694874,1610961.354955311,2268088.1722000116,1681259.3921018394,1575441.2856182968,1424424.5075533218,793074.942096221,2061968.463127242,1382625.2609114551
48,2018-01-01,2091110.7941662888,1573809.2587757779,1473298.6990963495,1028910.7106192912,1388537.2819645554,1952976.2490362427,1545414.9182412908,1590971.7282061356,1298686.4957028613,702734.668591033,1974978.4722035062,1262949.1130661266
49,2018-02-01,1935997.3955680148,1652341.2788547063,1537312.8081862342,1020628.257160028,1516385.5529298596,2215692.3699472174,1587210.8836134342,1319518.3181403943,1221785.865664626,661325.6697785901,1798995.824920191,1356494.94287682
50,2018-03-01,1996981.819248014,1386013.103169534,1365320.7076181227,973204.0804783616,1423752.6834303467,2070807.574828195,1613632.1353622861,1439993.0222857185,1340259.8745032707,739882.5482250968,2178547.213552511,1798130.2972843188
51,2018-04-01,1947593.132956144,1488033.1423213861,1425601.239783256,1012794.047200037,1416849.228197184,2036729.626926949,1487828.7333743752,1444921.2262521284,1334452.1582952756,799279.7395221391,2344424.465713654,1834051.1243001665
52,2018-05-01,2157751.9092791146,1684413.3727069902,1577598.3798629032,1052053.9376322327,1542553.409749304,2256653.1576488717,1629563.0719981254,1534164.8192651449,1287092.7604395386,751473.6833452033,2222616.6755042854,1716266.2234622396
53,2018-06-01,2159603.399491756,1754064.095490681,1632368.5104230451,1076080.2827574867,1637170.6808420587,2207318.4780780477,1744383.9226175984,1467665.4625484229,1371361.3728182549,760769.34228599,2213943.078650786,1695955.5926806983
54,2018-07-01,2122408.7170509486,1703377.2224616462,1604423.9089101811,1066866.156402312,1525557.5355200176,2050785.9668412562,1676650.2056420923,1457048.1010668557,1325804.3637236254,784352.3790666235,2266473.060927474,1761982.0150712593
55,2018-08-01,1818669.8468158003,1671296.3762997044,1463907.3006232595,971260.801734535,1413590.957982985,1843580.054801581,1484322.8177550763,1105968.999947342,1076570.0419148386,512375.24986192794,1505634.4187354806,1237629.9798994544
56,2018-09-01,1702101.4850380523,1508954.5009326395,1372336.821071524,960196.9350071956,1428296.2105288317,2005207.383575939,1508610.015187027,1160154.823852519,1143914.3890009897,607485.9713674438,1828969.7103919005,1549933.1847068323
57,2018-10-01,2028996.1926486173,1640182.7736637807,1508188.5394163467,964168.5661427538,1449530.7409743655,2085641.2094970315,1564147.3967443546,1438138.228030751,1305411.1335640836,683622.8419800972,1988758.3124209433,1588545.691380051
58,2018-11-01,2165561.173379623,1612838.8173278207,1555997.5341804046,1040480.4412616729,1501093.0079685187,2201234.274288784,1590612.1298785852,1599293.618009041,1373983.2239602287,749786.5588286193,2079182.7078006484,1657704.767219716
59,2018-12-01,1964917.5582730654,1618243.4091799613,1453084.9118124605,972814.6733345089,1511924.4413640772,2205345.96590379,1534650.6897814113,1209665.143663729,1158416.9633793514,541017.9485657684,1319676.8446129956,854085.5914645449
60,2019-01-01,1716079.7738157324,1721843.8957571795,1392534.006943972,900489.9703886948,1517460.063795254,2198241.3496047747,1427506.9765013042,822746.2547893317,944146.0465458422,363553.1599064929,913584.6759933408,531162.5443282677
61,2019-02-01,1776216.5203047097,1675477.4937632699,1364151.716522122,903431.8860656891,1494061.5531852948,2200483.3470008997,1426643.6756453258,895547.5668129768,970926.6656425366,359443.32785677095,802440.446471191,452639.92068549857
62,2019-03-01,1923471.0890490059,1711984.1018683934,1499305.4657611358,977243.3435387585,1653257.655817545,2347663.0592702404,1542052.0308106772,1139051.9272653973,1138842.361713328,549881.7344190484,1534503.6414384644,1183147.0048608154
63,2019-04-01,2157125.792192973,1657923.80962165,1625460.4245229706,1094210.2100383253,1653600.978624674,2433548.8120517978,1701152.222458521,1597230.2862855052,1452859.9099867449,787927.0324093266,2247417.5140947746,1796511.8170096083
64,2019-05-01,2125596.2267754287,1787995.9902782976,1672077.4099422712,1087962.9123242751,1767209.0862228263,2502098.4983637445,1730783.7040083592,1458875.7127817343,1254618.3794921977,704064.5879114062,2119332.043872318,1701648.6422648015
65,2019-06-01,2282342.2442889004,1854272.2896728471,1727673.8887072604,1138940.4077659084,1707679.5090041715,2438651.0280455383,1773974.8607786975,1502758.7288618898,1399556.6516380687,749620.691336048,2167463.3850731924,1708035.4713485625
66,2019-07-01,1980236.230848711,1747990.014067567,1533770.4090831366,1005421.8333698367,1479889.5411226742,1970032.6090338505,1570097.9711250055,1171430.650357761,1157374.057934557,562173.4695278397,1560498.7447044866,1164055.2808820158
67,2019-08-01,1613106.6625337515,1662960.7721073271,1352525.7468039475,895801.078831144,1456352.8847775797,1952313.322114893,1418647.5373939262,855981.7011176336,905065.2579784226,437492.97796991223,1206104.8883885988,953014.5334250997
68,2019-09-01,1949667.048048622,1645022.3442897047,1567287.944046867,993263.1174670181,1606035.4130020193,2239787.6705820104,1593860.35535041,1193240.5428875599,1194180.4294659377,634970.9043896272,1805199.5972257522,1394282.7510140035
69,2019-10-01,2283207.4460138357,1717251.2393385118,1703071.8910721843,1133806.6277991775,1618854.183127575,2377941.3350150203,1767376.076052626,1618409.5253773532,1444272.7110396246,781673.6773936236,2150941.1722578807,1700578.5050271796
70,2019-11-01,2344693.953022045,1437953.1238237643,1573868.9195889886,1136229.3915383094,1491674.0069720182,2333730.852652208,1738259.5011805224,1682860.602745411,1464446.4769018786,817394.8459843653,2214756.416377674,1494914.2144201337
71,2019-12-01,2033743.6435598321,1586389.8956599217,1592461.4374976282,1022791.1750068406,1648294.8154184124,2306499.678656535,1595863.7349277115,1397071.067659127,1242190.3504234029,574294.7234906945,1492939.1233515963,965676.4648735783
72,2020-01-01,1577260.4833797025,1480622.2329444704,1312832.3508990456,883976.6244246317,1498214.1012736391,2312069.11234706,1354533.6956276791,832160.0769168602,976747.1926638344,303152.57759334065,712626.541117314,328003.3040871274
73,2020-02-01,2277315.9550881474,1752104.2852053153,1803358.342092139,1188126.0971928902,1830142.2583270266,2484563.932600703,1818346.6187744555,1717814.8012683056,1535253.2903640547,817297.1209741976,2253870.8651648527,1509859.817790755
74,2020-03-01,2018099.468842241,1547278.865307889,1581352.7567702148,1100697.7793553597,1656617.793736063,2331264.370176335,1635546.9278188045,1511528.6944522199,1462532.0309208832,820901.0419731508,2391025.895842518,1911225.2418751486
75,2020-04-01,2033567.4929060137,1537778.0712980921,1536255.0466435563,1057572.393420081,1667635.7646580487,2456904.9939623764,1602171.1186256062,1626111.6204528876,1451180.4814965834,853007.4688112364,2666239.243054894,2149794.9783118493
76,2020-05-01,2447912.908722509,1762121.5267411047,1832654.2723331114,1203758.794499143,1805728.9014954346,2445192.572118503,1796769.159178252,1884188.0452284315,1591503.0255898528,923179.7393895562,2736424.8604459693,2140358.740026405
77,2020-06-01,2402013.889775212,1871587.2143142358,1875301.2538162672,1231867.1042610528,1743009.6925521935,2154160.652788381,1770300.172687882,1767985.1300825833,1430935.9828920905,813023.1312092851,2386299.5968641476,1851430.685595236
78,2020-07-01,2103044.2600457105,1635601.1687768176,1693733.4718243128,1095757.6322979894,1541257.089081378,2195654.5590492697,1664233.1818933277,1462889.9331551536,1318291.845378827,660225.4512276195,1837091.0036689145,1421434.7094776547
79,2020-08-01,2041437.156751568,1787882.8380654478,1616874.4965609508,1059774.9627165808,1623702.2030044848,2326169.7512903335,1641857.6131665036,1392963.5554540297,1275226.5328390743,695269.043202767,2024265.362206081,1617347.4270499544
80,2020-09-01,2152897.9407932195,1575977.3662091217,1622651.5083900387,1088175.7720993045,1527712.9883069783,2448438.9356366317,1721207.726223243,1602129.1361446506,1541882.8536433014,908791.7694419206,2902197.028150076,2301476.2418115297
81,2020-10-01,2246049.630581922,1672865.7214137558,1686730.2515264298,1145976.239846906,1792923.302575178,2551265.7130096606,1731726.661855493,1522103.0288971446,1442678.7733850847,788776.0619824748,2398069.564055415,2100439.6857514353
82,2020-11-01,2616649.6082624025,1757271.8193746405,1881909.2307584817,1247232.1184391896,1874045.2737966059,2639098.430006232,1930925.2194632725,2001342.8481885442,1768702.0748676998,1083116.9051484969,3280587.804656232,2694529.546240752
83,2020-12-01,2620882.6436503716,1584502.5040164336,1835844.3517933427,1300846.882477907,1679406.0115379558,2351348.1228965963,1870887.4710670107,2209151.8078043857,1729001.5592291679,1001498.032404121,2848366.261004769,2010009.8562293958
