Date,Morocco,Oriental,Tanger-Tétouan-Al Hoceima,Fès-Meknès,Beni Mellal-Khénifra,Rabat-Salé-Kénitra,Casablanca-Settat,Marrakech-Safi,Draa-Tafilalet,Souss-Massa,Guelmim-Oued Noun,Laayoune-Sakia-El-Hamra,Dakhla-Oued Ed-Dahab
2014-03-31,1087662.8233274003,128916.46416075421,89550.75603660203,91394.25787215296,64885.74261843347,94063.99875131341,141475.10697707228,107019.79980212548,76933.94615370997,83606.32347083901,36877.49294952656,105980.6812350817,66958.25329978908
2014-06-30,1076424.5182225518,120079.61032589088,99769.68993358374,94427.10611162044,63276.42713025487,101622.86042572217,152051.52686251246,103099.51221126996,59342.88868850433,69961.00194464643,31373.050078375003,104705.62992363056,76715.2145865408
2014-09-30,1088864.8724641774,132066.3347285319,104390.36547469911,98112.24757063734,65560.61543686857,100193.15011275957,145176.0075361463,111858.22014442418,65156.556671538936,76559.13854754035,31850.262793015707,89120.12441124854,68821.84903676681
2014-12-31,1031589.9524238127,134982.1610941256,100903.53879478226,101043.40697457995,63740.16910877405,100573.88823318463,156343.4064281444,105164.35965361372,65939.24406717421,71643.19378698227,27308.966994373564,68869.9201979569,35077.69709012113
2015-03-31,1363761.009284232,162616.12297326545,105668.9533488293,108147.98905745028,76783.89321032657,103394.56972102949,168315.87842839982,121471.50529311206,110336.68906790247,103656.8240371821,52048.275097788115,145179.23637873033,106141.07267021613
2015-06-30,1027383.4070746269,111312.3628586998,102763.50049076405,91444.423537439,62874.200777296064,101097.76282973925,157447.92670098116,101076.0639016346,49843.56051261847,65906.6157403713,29156.209524165373,87088.44144283194,67372.33875808574
2015-09-30,894030.2443086652,106046.88797661931,106067.83749035736,85444.68687513888,57891.982352855826,97556.38597108598,152413.8821966692,98958.84953628597,33619.5541012426,56206.64423039383,16157.872743840295,44939.91833281803,38725.742501357796
2015-12-31,1115725.5805746815,134422.29422869926,113601.81174038009,105037.66595377705,71444.5793262415,105394.92830439028,169109.23629826863,114576.77229814092,71987.48681410514,78093.03701646459,31784.57214681807,77533.18285249641,42740.013594899625
2016-03-31,1037063.8439389372,130287.9601760946,105379.39324499923,100312.18344777652,68306.16528743238,105538.70193159634,166709.26395947186,109366.89450764796,61799.67330511372,75306.55255323414,29362.468619690157,63501.451692350245,21193.135213530037
2016-06-30,1205492.9805475916,129302.67150034718,117628.59135889239,104375.54189404589,74125.7800603859,115781.83318960306,172323.4535402049,112056.98070508204,74730.2900887001,81756.32716579747,35185.03743259216,107209.901062177,81016.57254976331
